Index,Label,Size,Width,Style,Alpha,SiO2(wt%),K2O(wt%),Na2O(wt%)
1,[3],60,1,-,0.8,66.88,4.08,3.53
2,[3],60,1,-,0.8,67.52,4.19,3.47
3,[3],60,1,-,0.8,67.42,4.12,3.57
4,[3],60,1,-,0.8,66.57,4,3.74
5,[3],60,1,-,0.8,66.75,4.22,3.55
6,[3],60,1,-,0.8,66.87,4.04,3.63
7,[3],60,1,-,0.8,66.07,4.18,3.76
8,[3],60,1,-,0.8,66.79,3.92,3.61
9,[4],60,1,-,0.8,70.22,2.86,4.13
10,[4],60,1,-,0.8,67.99,4.56,3.07
11,[4],60,1,-,0.8,68.24,2.69,4.33
12,[4],60,1,-,0.8,71.42,4,3.67
13,[4],60,1,-,0.8,73.37,4.36,3.53
14,[4],60,1,-,0.8,73.64,4.7,3.29
15,[4],60,1,-,0.8,70.25,3.06,3.95
16,[5],60,1,-,0.8,69.48,3.27,3.91
17,[5],60,1,-,0.8,69.8,3.35,3.83
18,[5],60,1,-,0.8,69.66,3.01,3.76
19,[5],60,1,-,0.8,70.69,3.14,3.66
20,[5],60,1,-,0.8,69.47,3.03,3.79
21,[5],60,1,-,0.8,69.56,2.95,3.7
22,[5],60,1,-,0.8,69.36,3.29,3.44
23,[5],60,1,-,0.8,68.86,3.1,3.73
24,[6],60,1,-,0.8,66.84,4.05,3.65
25,[6],60,1,-,0.8,66.34,4.2,3.42
26,[6],60,1,-,0.8,67.8,4.34,3.63
27,[6],60,1,-,0.8,67.6,4.14,3.66
28,[6],60,1,-,0.8,66.18,3.83,3.73
29,[6],60,1,-,0.8,66.08,3.65,3.7
30,[6],60,1,-,0.8,66.92,3.9,3.74
31,[7],60,1,-,0.8,70.79,3.24,0.29
32,[7],60,1,-,0.8,65.3,3.24,0.33
33,[7],60,1,-,0.8,68.87,3.04,0.24
34,[7],60,1,-,0.8,66.22,3.27,0.34
35,[7],60,1,-,0.8,65.5,3.92,0.2
36,[11],60,1,-,0.8,58.19,0.76,5.65
37,[11],60,1,-,0.8,61.08,3.2,6.31
38,[11],60,1,-,0.8,58.27,1.92,4.84
39,[12],60,1,-,0.8,76.22,5.49,3.55
40,[12],60,1,-,0.8,75.75,5.74,3.44
41,[12],60,1,-,0.8,78.08,4.05,3.11
42,[12],60,1,-,0.8,77.21,4.52,3.86
43,[12],60,1,-,0.8,75.3,4.81,3.74
44,[12],60,1,-,0.8,75.5,4.37,4.13
45,[12],60,1,-,0.8,75.57,4.13,4.11
46,[12],60,1,-,0.8,75.1,4.42,4.41
47,[12],60,1,-,0.8,74.42,4.13,4.95
48,[12],60,1,-,0.8,78.62,4.91,2.64
49,[12],60,1,-,0.8,75.22,4.64,4.63
50,[19]-A,60,1,-,0.8,79.63,7.03,1.3
51,[19]-A,60,1,-,0.8,79.28,3.5,4.18
52,[19]-A,60,1,-,0.8,78.37,2.8,4.9
53,[19]-A,60,1,-,0.8,77.7,4.42,3.1
54,[19]-A,60,1,-,0.8,77.58,4.86,3.5
55,[19]-A,60,1,-,0.8,77.55,4.94,3.49
56,[19]-A,60,1,-,0.8,77.38,5.68,2.86
57,[19]-A,60,1,-,0.8,77.21,4.96,3.46
58,[19]-A,60,1,-,0.8,77.12,4.25,3.67
59,[19]-A,60,1,-,0.8,77.06,5.52,3.23
60,[19]-A,60,1,-,0.8,76.98,5.18,2.51
61,[19]-A,60,1,-,0.8,76.86,3.26,4.16
62,[19]-A,60,1,-,0.8,76.32,5.1,3.79
63,[19]-A,60,1,-,0.8,75.9,4.29,4.27
64,[19]-A,60,1,-,0.8,74.74,5.08,4.25
65,[19]-A,60,1,-,0.8,74.33,4.71,3.89
66,[19]-A,60,1,-,0.8,74.16,4.39,0.6
67,[19]-A,60,1,-,0.8,73.91,4.4,3.63
68,[19]-A,60,1,-,0.8,73.52,4.9,4.64
69,[19]-A,60,1,-,0.8,72.41,3.68,4.68
70,[19]-A,60,1,-,0.8,71.74,3.58,4.68
71,[19]-A,60,1,-,0.8,71.66,4.16,5.17
72,[19]-A,60,1,-,0.8,71.17,2.73,5.89
73,[19]-A,60,1,-,0.8,70.76,4.01,4.59
